YONEX All England Open 2022 | Viktor Axelsen (DEN) [1] vs Chou Tien Chen (TPE) [4] | Semifinals
YONEX All England Open 2022 | Chou Tien Chen (TPE) [4] vs Jonatan Christie (INA) [7] | Quarterfinals
YONEX All England Open 2022 | Chou Tien Chen (TPE) [4] vs Shesar Hiren Rhustavito (INA) | R32
YONEX French Open 2021 | Kanta Tsuneyama (JPN) vs Chou Tien Chen (TPE) [4] | Finals
YONEX French Open 2021 | Kenta Nishimoto (JPN) vs Chou Tien Chen (TPE) [4] | Quarterfinals
YONEX French Open 2021 | Chou Tien Chen (TPE) [4] vs Heo Kwanghee (KOR) | Semifinals
TotalEnergies BWF World Championships 2021 | Chou Tien Chen (TPE) [4] vs Lu Guang Zu (CHN) | R32
TotalEnergies BWF Sudirman Cup 2021 | Chou Tien Chen (TPE) vs Kento Momota (JPN) | QF
TotalEnergies BWF Sudirman Cup 2021 | Chou Tien Chen (TPE) vs Heo Kwanghee (KOR) | Group B
TotalEnergies BWF World Championships 2021 | Chou Tien Chen (TPE) [4] vs Sitthikorn Thammasin (THA)
F | MS | CHOU Tien Chen (TPE) [1] vs. Viktor AXELSEN (DEN) [2] | BWF 2020
F | MS | NG Ka Long Angus (HKG) vs. CHOU Tien Chen (TPE) [3] | BWF 2019
F | MS | Kento MOMOTA (JPN) [1] vs. CHOU Tien Chen (TPE) [2] | BWF 2019
F | MS | CHOU Tien Chen (TPE) [4] vs. Anders ANTONSEN (DEN) | BWF 2019
F | MS | Kento MOMOTA (JPN) [1] vs CHOU Tien Chen (TPE) [4] | BWF 2018
F | MS | CHOU Tien Chen (TPE) [1] vs. HEO Kwang Hee (KOR) | BWF 2019
MS | SHI Yuqi (CHN) [3] vs CHOU Tien Chen (TPE) [7] | BWF 2018
QF | MS | CHOU Tien Chen (TPE) [4] vs. Jonatan CHRISTIE (INA) [6] | BWF 2019
DAIHATSU Indonesia Masters 2021 | Chou Tien Chen (TPE) [4] vs Loh Kean Yew (SGP) | Round of 16
DAIHATSU Indonesia Masters 2021 | Kento Momota (JPN) [1] vs Chou Tien Chen (TPE) [4] | SF
BWF Thomas Cup | Chou Tien Chen (TPE) vs Kantaphon Wangcharoen (THA) | Group A
BWF Thomas Cup | Anthony Sinisuka Ginting (INA) vs Chou Tien Chen (TPE) | Group A
VICTOR Denmark Open 2021 | Lee Cheuk Yiu (HKG) vs Chou Tien Chen (TPE) [4] | Quarter Finals
QF | MS | Anthony Sinisuka GINTING (INA) [8] vs. CHOU Tien Chen (TPE) [2] | BWF 2019
SF | MS | Kantaphon WANGCHAROEN (THA) vs. CHOU Tien Chen (TPE) [4] | BWF 2019
SF | MS | CHOU Tien Chen (TPE) [1] vs. Shesar Hiren RHUSTAVITO (INA) | BWF 2019
R16 | MS | CHOU Tien Chen (TPE) [4] vs. LIN Dan (CHN) | BWF 2019
R16 | MS | CHOU Tien Chen (TPE) [1] vs. Kanta TSUNEYAMA (JPN) | BWF 2020
R16 | MS | LOH Kean Yew (SGP) vs. CHOU Tien Chen (TPE) [2] | BWF 2019
HSBC BWF World Tour Finals | Day 2: Chou Tien Chen (TPE) [3] vs. Anthony Sinisuka Ginting (INA)
